,Headline,URL
183,শুক্রবার থেকে পেশাজীবীদের সঙ্গে বিএনপির মতবিনিময়,https://www.jagonews24.com/politics/news/705355
184,ধর্ষণ মামলায় জামিন পেয়ে নির্যাতিতার বাড়িতে আগুন দেওয়ার অভিযোগ,https://www.jagonews24.com/country/news/705147
185,বেপরোয়া ট্রাক কেড়ে নিলো পুলিশ সদস্যের প্রাণ,https://www.jagonews24.com/country/news/703360
186,টিকা ছাড়াই যাত্রীদের সংস্পর্শে অধিকাংশ পরিবহন শ্রমিক,https://www.jagonews24.com/special-reports/news/703300
187,জাবি কবে খুলবে তা জানা যাবে আজ,https://www.jagonews24.com/campus/news/703176
188,"দক্ষিণে নিবন্ধন, তাই উত্তরে মিলছে না টিকা",https://www.jagonews24.com/health/news/703046
189,বিশ্বের সবচেয়ে ছোট গরুর স্বীকৃতি পেল সেই ‘রানি’,https://www.jagonews24.com/country/news/702832
190,অনুমতি ছাড়াই রাস্তার পাশের শতাধিক গাছ কেটে বিক্রি,https://www.jagonews24.com/country/news/702548
191,"অপহরণের চার ঘণ্টা পর মাদরাসাছাত্রী উদ্ধার, গ্রেফতার ১১",https://www.jagonews24.com/country/news/702519
192,"সন্ধ্যার বৃষ্টিতে বেড়েছে যানজট, ১০ মিনিটের রাস্তা পেরোতে দেড়ঘণ্টা",https://www.jagonews24.com/national/news/702509
193,সাভারে ডাইং মেশিনের পানিতে দগ্ধ তিন শ্রমিক,https://www.jagonews24.com/country/news/702488
194,টানা ৪০ দিন জামাতে নামাজ পড়ে বাইসাইকেল পেল ৯ কিশোর,https://www.jagonews24.com/country/news/702017
195,আশুলিয়ায় ডোবায় মিললো নবজাতকের মরদেহ,https://www.jagonews24.com/country/news/702014
196,করোনার টিকাগ্রহীতার সংখ্যা চার কোটি ছুঁই ছুঁই,https://www.jagonews24.com/health/news/701796
197,সমুদ্রবন্দরে পড়ে থাকা গাড়ি দ্রুত নিলামে তোলার সুপারিশ,https://www.jagonews24.com/national/news/701781
198,স্কুল-কলেজে কমিটি গঠনে মানতে হবে যেসব নির্দেশনা,https://www.jagonews24.com/education/news/701772
199,ক্রিকেট খেলায় বাজিতে হেরে যুবকের আত্মহত্যা,https://www.jagonews24.com/country/news/700678
200,আফগানিস্তানে খাদ্য সহায়তা পাঠানোর দাবি জাফরুল্লাহর,https://www.jagonews24.com/politics/news/700336
201,"ধর্ষণের পর গৃহকর্মীকে ন্যাড়া করে দিলেন স্ত্রী, গ্রেফতার স্বামী",https://www.jagonews24.com/country/news/699993
202,‘আফগানিস্তানে সরকার গঠন প্রক্রিয়া বাংলাদেশ পর্যবেক্ষণ করছে’,https://www.jagonews24.com/country/news/698546
203,শিক্ষার্থীদের বরণ করতে প্রস্তুত ঢাকা কলেজ,https://www.jagonews24.com/campus/news/698200
204,আশুলিয়ায় গ্রামীণ ঐতিহ্য মহিষের লড়াই,https://www.jagonews24.com/country/news/698154
205,আশুলিয়ায় শ্রমিক কলোনিতে আগুনে পুড়ে শিশুর মৃত্যু,https://www.jagonews24.com/country/news/698117
206,আমিনবাজার-আশুলিয়া নৌ চলাচল আপাতত বন্ধ,https://www.jagonews24.com/country/news/698101
207,সাভারে নারী কাপড় ব্যবসায়ীকে শ্বাসরোধে হত্যা,https://www.jagonews24.com/country/news/697743
208,সাভারে ১৭ স্বর্ণের দোকানে ডাকাতির ঘটনায় মামলা,https://www.jagonews24.com/country/news/697320
209,আশুলিয়ায় ১৯ স্বর্ণের দোকানে ডাকাতি,https://www.jagonews24.com/country/news/697125
210,কেরানীগঞ্জের আগুন নিয়ন্ত্রণে,https://www.jagonews24.com/national/news/697063
211,দিনের ভ্যাপসা গরমের পর রাতে নামলো প্রশান্তির বৃষ্টি,https://www.jagonews24.com/national/news/697061
212,"কেরানীগঞ্জের নুরু মার্কেটে আগুন, নিয়ন্ত্রণে ৯ ইউনিট",https://www.jagonews24.com/national/news/697060
213,এ যেন এক অচেনা শরৎ,https://www.jagonews24.com/agriculture-and-nature/news/696486
214,সাভারে প্রবাসীর স্ত্রীকে গলা কেটে হত্যা,https://www.jagonews24.com/country/news/696126
