headline,link,time
নির্মাণের ৬ মাসেই নদীতে বিলীন হচ্ছে সড়ক!,https://www.jugantor.com/country-news/467295/নির্মাণের-৬-মাসেই-নদীতে-বিলীন-হচ্ছে-সড়ক,"০ সেপ্টেম্বর, ২০২১"
লেবুখালী পায়রা সেতু উদ্বোধনের অপেক্ষায়,https://www.jugantor.com/todays-paper/city/462273/লেবুখালী-পায়রা-সেতু-উদ্বোধনের-অপেক্ষায়,"৭ সেপ্টেম্বর, ২০২১"
প্রবল ঝড়ে শতাধিক ঘরবাড়ি বিধ্বস্ত,https://www.jugantor.com/country-news/447631/প্রবল-ঝড়ে-শতাধিক-ঘরবাড়ি-বিধ্বস্ত,"৮ জুলাই, ২০২১"
"স্ত্রীকে হার্টের রোগী সাজিয়ে ঢাকার পথে, অতঃপর...(ভিডিও)",https://www.jugantor.com/covid-19/447176/স্ত্রীকে-হার্টের-রোগী-সাজিয়ে-ঢাকার-পথে-অতঃপর...ভিডিও,"৭ জুলাই, ২০২১"
নারী ও ইয়াবাসহ আটক  হয়ে পদ গেল আ.লীগ নেতার,https://www.jugantor.com/country-news/446800/নারী-ও-ইয়াবাসহ-আটক- হয়ে-পদ-গেল-আ.লীগ-নেতার,"৬ জুলাই, ২০২১"
বিয়ের খাবার খাওয়া হলো না অতিথিদের,https://www.jugantor.com/country-news/445626/বিয়ের-খাবার-খাওয়া-হলো-না-অতিথিদের,"৩ জুলাই, ২০২১"
ট্রাকে মিলল দেড় কোটি টাকার চিংড়ি রেণু!,https://www.jugantor.com/country-news/444244/ট্রাকে-মিলল-দেড়-কোটি-টাকার-চিংড়ি-রেণু,"৭ জুলাই, ২০২১"
"জাসদ জামায়াত বিএনপি নিয়ে আ’লীগের কমিটি, ফেসবুকে তোলপাড়!",https://www.jugantor.com/country-news/443164/জাসদ-জামায়াত-বিএনপি-নিয়ে-আলীগের-কমিটি-ফেসবুকে-তোলপাড়,"৪ জুলাই, ২০২১"
দুমকিতে বীর মুক্তিযোদ্ধা নুরুল ইসলামের মৃত্যুবার্ষিকী উপলক্ষে দোয়া মাহফিল,https://www.jugantor.com/country-news/442299/দুমকিতে-বীর-মুক্তিযোদ্ধা-নুরুল-ইসলামের-মৃত্যুবার্ষিকী-উপলক্ষে-দোয়া-মাহফিল,"২ জুলাই, ২০২১"
রাস্তায় ছিটকে পড়ে আহত শিক্ষা কর্মকর্তার মৃত্যু,https://www.jugantor.com/country-news/438713/রাস্তায়-ছিটকে-পড়ে-আহত-শিক্ষা-কর্মকর্তার-মৃত্যু,"৩ জুলাই, ২০২১"
গলায় ফাঁস দিয়ে গৃহবধূর আত্মহত্যা,https://www.jugantor.com/country-news/438278/গলায়-ফাঁস-দিয়ে-গৃহবধূর-আত্মহত্যা,"২ জুলাই, ২০২১"
মেসির জন্মদিনে কেক কেটে আনন্দ মিছিল,https://www.jugantor.com/country-news/435434/মেসির-জন্মদিনে-কেক-কেটে-আনন্দ-মিছিল,"৫ জুন, ২০২১"
স্বামীর পছন্দের মার্কায় ভোট না দেওয়ায় পিটিয়ে জখম,https://www.jugantor.com/country-news/434951/স্বামীর-পছন্দের-মার্কায়-ভোট-না-দেওয়ায়-পিটিয়ে-জখম,"৩ জুন, ২০২১"
আনারস নিয়ে বিপাকে প্রার্থী!,https://www.jugantor.com/country-news/432732/আনারস-নিয়ে-বিপাকে-প্রার্থী,"৭ জুন, ২০২১"
